Basketball,Football
Dataset\train\basketball\basketball_57 (2).jpg,Dataset\train\football\football_525.jpg
Dataset\train\basketball\basketball_57(1).jpg,Dataset\train\football\football_528.jpg
Dataset\train\basketball\basketball_57.jpg,Dataset\train\football\football_531.jpg
Dataset\train\basketball\basketball_570.jpg,Dataset\train\football\football_533.jpg
Dataset\train\basketball\basketball_573.jpg,Dataset\train\football\football_534.jpg
Dataset\train\basketball\basketball_574.jpg,Dataset\train\football\football_535.jpg
Dataset\train\basketball\basketball_576.jpg,Dataset\train\football\football_54.jpg
Dataset\train\basketball\basketball_578.jpg,Dataset\train\football\football_542.jpg
Dataset\train\basketball\basketball_58(1).jpg,Dataset\train\football\football_543.jpg
Dataset\train\basketball\basketball_58.jpg,Dataset\train\football\football_545.jpg
Dataset\train\basketball\basketball_580.jpg,Dataset\train\football\football_546.jpg
Dataset\train\basketball\basketball_581.jpg,Dataset\train\football\football_549.jpg
Dataset\train\basketball\basketball_589.jpg,Dataset\train\football\football_551.jpg
Dataset\train\basketball\basketball_59(1).jpg,Dataset\train\football\football_555.jpg
Dataset\train\basketball\basketball_59.jpg,Dataset\train\football\football_558.jpg
Dataset\train\basketball\basketball_590.jpg,Dataset\train\football\football_561.jpg
Dataset\train\basketball\basketball_591.jpg,Dataset\train\football\football_564.jpg
Dataset\train\basketball\basketball_6 (2).jpg,Dataset\train\football\football_565.jpg
Dataset\train\basketball\basketball_6(1).jpg,Dataset\train\football\football_566.jpg
Dataset\train\basketball\basketball_6.jpg,Dataset\train\football\football_568.jpg
Dataset\train\basketball\basketball_60 (2).jpg,Dataset\train\football\football_569.jpg
Dataset\train\basketball\basketball_60.jpg,Dataset\train\football\football_57.jpg
Dataset\train\basketball\basketball_600.jpg,Dataset\train\football\football_570.jpg
Dataset\train\basketball\basketball_601.jpg,Dataset\train\football\football_572.jpg
Dataset\train\basketball\basketball_602.jpg,Dataset\train\football\football_574.jpg
Dataset\train\basketball\basketball_604.jpg,Dataset\train\football\football_576.jpg
Dataset\train\basketball\basketball_605.jpg,Dataset\train\football\football_579.jpg
Dataset\train\basketball\basketball_606.jpg,Dataset\train\football\football_58.jpg
Dataset\train\basketball\basketball_607.jpg,Dataset\train\football\football_581.jpg
Dataset\train\basketball\basketball_609.jpg,Dataset\train\football\football_584.jpg
Dataset\train\basketball\basketball_61 (2).jpg,Dataset\train\football\football_585.jpg
Dataset\train\basketball\basketball_61.jpg,Dataset\train\football\football_588.jpg
Dataset\train\basketball\basketball_610.jpg,Dataset\train\football\football_59.jpg
Dataset\train\basketball\basketball_611.jpg,Dataset\train\football\football_591.jpg
Dataset\train\basketball\basketball_612.jpg,Dataset\train\football\football_592.jpg
Dataset\train\basketball\basketball_617.jpg,Dataset\train\football\football_595.jpg
Dataset\train\basketball\basketball_62(1).jpg,Dataset\train\football\football_596.jpg
Dataset\train\basketball\basketball_62.jpg,Dataset\train\football\football_597.jpg
Dataset\train\basketball\basketball_620.jpg,Dataset\train\football\football_598.jpg
Dataset\train\basketball\basketball_621.jpg,Dataset\train\football\football_60.jpg
Dataset\train\basketball\basketball_623.jpg,Dataset\train\football\football_600.jpg
Dataset\train\basketball\basketball_626.jpg,Dataset\train\football\football_601.jpg
Dataset\train\basketball\basketball_627.jpg,Dataset\train\football\football_603.jpg
Dataset\train\basketball\basketball_628.jpg,Dataset\train\football\football_604.jpg
Dataset\train\basketball\basketball_63(1).jpg,Dataset\train\football\football_606.jpg
Dataset\train\basketball\basketball_63.jpg,Dataset\train\football\football_608.jpg
Dataset\train\basketball\basketball_631.jpg,Dataset\train\football\football_61.jpg
Dataset\train\basketball\basketball_633.jpg,Dataset\train\football\football_610.jpg
Dataset\train\basketball\basketball_635.jpg,Dataset\train\football\football_615.jpg
Dataset\train\basketball\basketball_636.jpg,Dataset\train\football\football_618.jpg
Dataset\train\basketball\basketball_637.jpg,Dataset\train\football\football_619.jpg
Dataset\train\basketball\basketball_638.jpg,Dataset\train\football\football_62.jpg
Dataset\train\basketball\basketball_639.jpg,Dataset\train\football\football_621.jpg
Dataset\train\basketball\basketball_64 (2).jpg,Dataset\train\football\football_622.jpg
Dataset\train\basketball\basketball_64(1).jpg,Dataset\train\football\football_624.jpg
Dataset\train\basketball\basketball_64.jpg,Dataset\train\football\football_632.jpg
Dataset\train\basketball\basketball_641.jpg,Dataset\train\football\football_633.jpg
Dataset\train\basketball\basketball_642.jpg,Dataset\train\football\football_637.jpg
Dataset\train\basketball\basketball_645.jpg,Dataset\train\football\football_638.jpg
Dataset\train\basketball\basketball_646.jpg,Dataset\train\football\football_639.jpg
Dataset\train\basketball\basketball_648.jpg,Dataset\train\football\football_640.jpg
Dataset\train\basketball\basketball_649.jpg,Dataset\train\football\football_641.jpg
Dataset\train\basketball\basketball_65(1).jpg,Dataset\train\football\football_643.jpg
Dataset\train\basketball\basketball_65.jpg,Dataset\train\football\football_644.jpg
Dataset\train\basketball\basketball_650.jpg,Dataset\train\football\football_655.jpg
Dataset\train\basketball\basketball_651.jpg,Dataset\train\football\football_656.jpg
Dataset\train\basketball\basketball_654.jpg,Dataset\train\football\football_659.jpg
Dataset\train\basketball\basketball_658.jpg,Dataset\train\football\football_66.jpg
Dataset\train\basketball\basketball_659.jpg,Dataset\train\football\football_664.jpg
Dataset\train\basketball\basketball_66 (2).jpg,Dataset\train\football\football_665.jpg
Dataset\train\basketball\basketball_66.jpg,Dataset\train\football\football_667.jpg
Dataset\train\basketball\basketball_661.jpg,Dataset\train\football\football_67.jpg
Dataset\train\basketball\basketball_662.jpg,Dataset\train\football\football_670.jpg
Dataset\train\basketball\basketball_665.jpg,Dataset\train\football\football_676.jpg
Dataset\train\basketball\basketball_668.jpg,Dataset\train\football\football_677.jpg
Dataset\train\basketball\basketball_669.jpg,Dataset\train\football\football_683.jpg
Dataset\train\basketball\basketball_67(1).jpg,Dataset\train\football\football_689.jpg
Dataset\train\basketball\basketball_67.jpg,Dataset\train\football\football_691.jpg
Dataset\train\basketball\basketball_671.jpg,Dataset\train\football\football_693.jpg
Dataset\train\basketball\basketball_672.jpg,Dataset\train\football\football_696.jpg
Dataset\train\basketball\basketball_675.jpg,Dataset\train\football\football_697.jpg
Dataset\train\basketball\basketball_676.jpg,Dataset\train\football\football_70.jpg
Dataset\train\basketball\basketball_68 (2).jpg,Dataset\train\football\football_700.jpg
Dataset\train\basketball\basketball_68(1).jpg,Dataset\train\football\football_702.jpg
Dataset\train\basketball\basketball_68.jpg,Dataset\train\football\football_703.jpg
Dataset\train\basketball\basketball_681.jpg,Dataset\train\football\football_704.jpg
Dataset\train\basketball\basketball_687.jpg,Dataset\train\football\football_707.jpg
Dataset\train\basketball\basketball_689.jpg,Dataset\train\football\football_708.jpg
Dataset\train\basketball\basketball_69(1).jpg,Dataset\train\football\football_709.jpg
Dataset\train\basketball\basketball_69.jpg,Dataset\train\football\football_710.jpg
Dataset\train\basketball\basketball_694.jpg,Dataset\train\football\football_715.jpg
Dataset\train\basketball\basketball_697.jpg,Dataset\train\football\football_719.jpg
Dataset\train\basketball\basketball_7(1).jpg,Dataset\train\football\football_727.jpg
Dataset\train\basketball\basketball_7.jpg,Dataset\train\football\football_728.jpg
Dataset\train\basketball\basketball_70 (2).jpg,Dataset\train\football\football_731.jpg
Dataset\train\basketball\basketball_70(1).jpg,Dataset\train\football\football_733.jpg
Dataset\train\basketball\basketball_70.jpg,Dataset\train\football\football_734.jpg
Dataset\train\basketball\basketball_71 (2).jpg,Dataset\train\football\football_737.jpg
Dataset\train\basketball\basketball_71(1).jpg,Dataset\train\football\football_738.jpg
Dataset\train\basketball\basketball_71.jpg,Dataset\train\football\football_739.jpg
Dataset\train\basketball\basketball_72(1).jpg,Dataset\train\football\football_741.jpg
Dataset\train\basketball\basketball_72.jpg,Dataset\train\football\football_746.jpg
Dataset\train\basketball\basketball_73(1).jpg,Dataset\train\football\football_747.jpg
Dataset\train\basketball\basketball_73.jpg,Dataset\train\football\football_749.jpg
Dataset\train\basketball\basketball_74 (2).jpg,Dataset\train\football\football_75.jpg
Dataset\train\basketball\basketball_74(1).jpg,Dataset\train\football\football_750.jpg
Dataset\train\basketball\basketball_74.jpg,Dataset\train\football\football_751.jpg
Dataset\train\basketball\basketball_75 (2).jpg,Dataset\train\football\football_756.jpg
Dataset\train\basketball\basketball_75(1).jpg,Dataset\train\football\football_758.jpg
Dataset\train\basketball\basketball_75.jpg,Dataset\train\football\football_759.jpg
Dataset\train\basketball\basketball_76 (2).jpg,Dataset\train\football\football_76.jpg
Dataset\train\basketball\basketball_76(1).jpg,Dataset\train\football\football_760.jpg
Dataset\train\basketball\basketball_76.jpg,Dataset\train\football\football_762.jpg
Dataset\train\basketball\basketball_77 (2).jpg,Dataset\train\football\football_764.jpg
Dataset\train\basketball\basketball_77(1).jpg,Dataset\train\football\football_765.jpg
Dataset\train\basketball\basketball_77.jpg,Dataset\train\football\football_766.jpg
Dataset\train\basketball\basketball_78 (2).jpg,Dataset\train\football\football_767.jpg
Dataset\train\basketball\basketball_78(1).jpg,Dataset\train\football\football_769.jpg
Dataset\train\basketball\basketball_78.jpg,Dataset\train\football\football_77.jpg
Dataset\train\basketball\basketball_79(1).jpg,Dataset\train\football\football_770.jpg
Dataset\train\basketball\basketball_79.jpg,Dataset\train\football\football_773.jpg
Dataset\train\basketball\basketball_8 (2).jpg,Dataset\train\football\football_774.jpg
Dataset\train\basketball\basketball_8(1).jpg,Dataset\train\football\football_776.jpg
Dataset\train\basketball\basketball_8.jpg,Dataset\train\football\football_777.jpg
Dataset\train\basketball\basketball_80 (2).jpg,Dataset\train\football\football_779.jpg
Dataset\train\basketball\basketball_80(1).jpg,Dataset\train\football\football_780.jpg
Dataset\train\basketball\basketball_80.jpg,Dataset\train\football\football_782.jpg
Dataset\train\basketball\basketball_81(1).jpg,Dataset\train\football\football_785.jpg
Dataset\train\basketball\basketball_81.jpg,Dataset\train\football\football_787.jpg
Dataset\train\basketball\basketball_82 (2).jpg,Dataset\train\football\football_788.jpg
Dataset\train\basketball\basketball_82(1).jpg,Dataset\train\football\football_789.jpg
Dataset\train\basketball\basketball_82.jpg,Dataset\train\football\football_79.jpg
Dataset\train\basketball\basketball_83 (2).jpg,Dataset\train\football\football_792.jpg
Dataset\train\basketball\basketball_83.jpg,Dataset\train\football\football_794.jpg
Dataset\train\basketball\basketball_84(1).jpg,Dataset\train\football\football_795.jpg
Dataset\train\basketball\basketball_84.jpg,Dataset\train\football\football_80.jpg
Dataset\train\basketball\basketball_85(1).jpg,Dataset\train\football\football_807.jpg
Dataset\train\basketball\basketball_86(1).jpg,Dataset\train\football\football_809.jpg
Dataset\train\basketball\basketball_86.jpg,Dataset\train\football\football_81.jpg
Dataset\train\basketball\basketball_87(1).jpg,Dataset\train\football\football_810.jpg
Dataset\train\basketball\basketball_88(1).jpg,Dataset\train\football\football_811.jpg
Dataset\train\basketball\basketball_88.jpg,Dataset\train\football\football_816.jpg
Dataset\train\basketball\basketball_9 (2).jpg,Dataset\train\football\football_817.jpg
Dataset\train\basketball\basketball_9(1).jpg,Dataset\train\football\football_819.jpg
Dataset\train\basketball\basketball_9.jpg,Dataset\train\football\football_820.jpg
Dataset\train\basketball\basketball_92.jpg,Dataset\train\football\football_821.jpg
,Dataset\train\football\football_823.jpg
,Dataset\train\football\football_83.jpg
,Dataset\train\football\football_832.jpg
,Dataset\train\football\football_834.jpg
,Dataset\train\football\football_836.jpg
,Dataset\train\football\football_839.jpg
,Dataset\train\football\football_84.jpg
,Dataset\train\football\football_840.jpg
,Dataset\train\football\football_843.jpg
,Dataset\train\football\football_848.jpg
,Dataset\train\football\football_850.jpg
,Dataset\train\football\football_851.jpg
,Dataset\train\football\football_852.jpg
,Dataset\train\football\football_858.jpg
,Dataset\train\football\football_859.jpg
,Dataset\train\football\football_86.jpg
,Dataset\train\football\football_861.jpg
,Dataset\train\football\football_862.jpg
,Dataset\train\football\football_864.jpg
,Dataset\train\football\football_869.jpg
,Dataset\train\football\football_873.jpg
,Dataset\train\football\football_874.jpg
,Dataset\train\football\football_876.jpg
,Dataset\train\football\football_877.jpg
,Dataset\train\football\football_878.jpg
,Dataset\train\football\football_882.jpg
,Dataset\train\football\football_884.jpg
,Dataset\train\football\football_888.jpg
,Dataset\train\football\football_890.jpg
,Dataset\train\football\football_891.jpg
,Dataset\train\football\football_899.jpg
,Dataset\train\football\football_90.jpg
,Dataset\train\football\football_900.jpg
,Dataset\train\football\football_901.jpg
,Dataset\train\football\football_902.jpg
,Dataset\train\football\football_906.jpg
,Dataset\train\football\football_909.jpg
,Dataset\train\football\football_911.jpg
,Dataset\train\football\football_915.jpg
,Dataset\train\football\football_917.jpg
,Dataset\train\football\football_919.jpg
,Dataset\train\football\football_920.jpg
,Dataset\train\football\football_924.jpg
,Dataset\train\football\football_929.jpg
,Dataset\train\football\football_932.jpg
,Dataset\train\football\football_933.jpg
,Dataset\train\football\football_934.jpg
,Dataset\train\football\football_935.jpg
,Dataset\train\football\football_938.jpg
,Dataset\train\football\football_940.jpg
,Dataset\train\football\football_941.jpg
,Dataset\train\football\football_946.jpg
,Dataset\train\football\football_949.jpg
,Dataset\train\football\football_950.jpg
,Dataset\train\football\football_951.jpg
,Dataset\train\football\football_954.jpg
,Dataset\train\football\football_955.jpg
,Dataset\train\football\football_957.jpg
,Dataset\train\football\football_958.jpg
,Dataset\train\football\football_962.jpg
,Dataset\train\football\football_963.jpg
,Dataset\train\football\football_964.jpg
,Dataset\train\football\football_965.jpg
,Dataset\train\football\football_966.jpg
,Dataset\train\football\football_967.jpg
,Dataset\train\football\football_971.jpg
,Dataset\train\football\football_981.jpg
,Dataset\train\football\football_982.jpg
,Dataset\train\football\football_985.jpg
,Dataset\train\football\football_986.jpg
,Dataset\train\football\football_987.jpg
,Dataset\train\football\football_988.jpg
,Dataset\train\football\football_989.jpg
,Dataset\train\football\football_990.jpg
,Dataset\train\football\football_993.jpg
,Dataset\train\football\football_994.jpg
,Dataset\train\football\football_996.jpg
,Dataset\train\football\football_997.jpg
